site_id,Centre name,Phone number,Opening hours,longitude,latitude,test_capacity
64,​Leeton District Hospital,(02) 6953 1111,"​2pm-4pm, Monday-Friday",151.2004433,-33.9014313,80
65,Lismore Base Hospital,(02) 6624 0200,"10am-6pm, 7 days",153.2860348,-28.80973358,50
66,Lithgow Hospital,Booking required via (02) 6350 2300,"10am-3:00pm, 7 days",150.1265988,-33.50016308,100
67,Liverpool Hospital,(02) 8738 3000,"10am-5:30pm, Monday-Friday 10am–3pm, Saturday & Sunday",151.2004433,-33.9014313,50
68,​Maitland Hospital,(02) 4939 2000,"​10am-4pm, Monday-Friday",151.2004433,-33.9014313,50
69,​Manning Hospital (Drive-through clinic),Call prior to visiting on 02 6592 9850,"8am-4pm, 7 days",152.452959,-31.91042498,90
70,Mona Vale Hospital,(02) 9998 6300 ​,"10am-6pm, 7 days",151.3041088,-33.68699928,50
71,Mooree Hospital,Screening required on (02) 6757 0000,"10am-3pm, Mon to Fri (closed from 12-1)",149.8377412,-29.47089738,60
72,Nepean Hospital,(02) 4734 2000,"10:30am-6pm, 7 days",150.7127686,-33.76154728,100
73,Northern Beaches Hospital,(02) 9105 5000,"9:30am-6pm, 7 days",151.2308358,-33.75115688,50
74,Orange Hospital,(02) 6369 3000,"10am-6pm, Monday-Friday",149.0917665,-33.31732678,100
75,Port Macquarie Base Hospital,1300 001 956,"10am-4pm, Monday- Friday 10am-2pm Saturday-Sunday",152.8737254,-31.45285438,80
76,Prince of Wales Hospital (Building 14B),(02) 9650 4000,"10am-8pm, 7 days",151.2387137,-33.91851228,50
77,Queanbeyan Hospital (Booking required),Call ahead on 1800 999 880,"8:30am-12:30am, Monday-Saturday",149.2302398,-35.34749258,80
78,Redfern Health Centre Clinic,(02) 9395 0444,"9am-4pm, Monday-Friday",151.2011529,-33.89307238,50
79,Royal North Shore Hospital,(02) 9926 7111,"8am-8pm, 7 days",151.1870989,-33.81922578,70
80,Royal Prince Alfred Hospital,(02) 9515 6111,"8am-9pm, 7 days",151.1809196,-33.88913768,50
81,Ryde Hospital,(02) 9858 7888,"10am-8pm, 7 days",151.0869272,-33.79351838,100
82,Scone Hospital (Drive-through clinic),(02) 6540 2100,"​1:30pm-3:30pm, Monday-Friday",150.8738614,-32.05191198,80
83,Shellharbour Hospital,(02) 4295 2500,"8am-5pm, 7 days",150.8402893,-34.55799878,100
84,​Shoalhaven Hospital​,(02) 4423 9500,"​​8am-4:30pm, 7 days",150.598439,-34.86786258,90
85,Bega Valley Health Service (Booking required),Please call ahead on 1800 999 880,"11am-2pm, Monday-Saturday",151.2004433,-33.9014313,90
86,​Singleton Hospital (Drive-through clinic),Please call ahead on (02) 6571 9248,"​1:30pm-3:30pm, Monday-Friday",151.2004433,-33.9014313,70
87,St George Hospital,(02) 9113 1111,"8am-6pm, 7 days",151.2004433,-33.9014313,90
88,St Vincent's Hospital,(02) 8382 1111,"9am-4pm, 7 days",151.2004433,-33.9014313,60
89,Summer Hill (Drive-through clinic),-,"​8:30am-4pm, 7 days ​",151.1292065,-33.89044298,90
90,Sydney and Sydney Eye Hospital,(02) 9382 7111,"10am-6pm, Monday-Friday​",151.2004433,-33.9014313,70
91,Sydney Children’s Hospital,(02) 9382 1111,"10am-8pm, 7 days",151.2004433,-33.9014313,100
92,The Canterbury Hospital,(02) 9787 0000,"8am-10pm, 7 days",151.0962519,-33.91943363,100
93,The Children’s Hospital at Westmead,(02) 9845 0000,"10am-8pm, 7 days",151.2004433,-33.9014313,90
94,The Hub in Miller (Pop-up clinic),(02) 9608 8920,"10am-2pm, Monday-Friday (Until 1 May 2020)",150.8808964,-33.92026128,100
95,The Sutherland Hospital,(02) 9540 7111,"8am-8pm, 7 days",151.111083,-34.03518308,60
96,The Tweed Hospital,(07) 5506 7000,"10am-6pm, 7 days",151.2004433,-33.9014313,90
97,​Tumut Hospital (Booking required),Booking required via 1800 831 099,"12pm-4pm, Mon-Fri",148.2170523,-35.30750098,100
98,Wagga Wagga Clinic (Booking required),Booking required via 1800 831 099,"9am-4:45pm, Monday-Friday 9am-2pm Saturday-Sunday",147.3563078,-35.11850938,80
99,Westmead Hospital,(02) 8890 5555,"7am-9pm, 7 days",151.2004433,-33.9014313,50
100,Wollongong Hospital,(02) 4222 5000,"8am-5pm, 7 days",151.2004433,-33.9014313,60
101,Wyong Hospital,(02) 4394 8000,"9am-5pm, 7 days a week",151.468577,-33.26384308,100
102,Darlinghurst Respiratory Clinic,-,Book an appointment online,151.2120744,-33.87941619,90
103,Lakemba Respiratory Clinic,-,Book an appointment online,151.2004433,-33.9014313,70
104,Blacktown Respiratory Clinic,-,Book an appointment online,151.2004433,-33.9014313,90
105,Riverstone Respiratory Clinic,-,Book an appointment online,151.2004433,-33.9014313,100
106,Campbelltown Respiratory Clinic,-,Book an appointment online,150.8102799,-34.06825248,90
107,Penrith Respiratory Clinic,-,Book an appointment online,150.6707348,-33.76989658,60
108,Mittagong Respiratory Clinic,(02) 4800 9032,Book an appointment online,150.4408701,-34.45232868,60
109,Raymond Terrace Respiratory Clinic,(02) 4938 0900,Book an appointment online,151.7379313,-32.76469398,70
110,Wagga Wagga Respiratory Clinic,-,Book an appointment online,151.2004433,-33.9014313,50
111,Murwillumbah Respiratory Clinic,-,Book an appointment online,153.3940226,-28.32902668,50
